name,accuracy_test,accuracy_val,accuracy_train,num_LSTM,num_Dense_1,num_Dense_2,batch_size,reshape
MFCC-48,0.4975,0.49,0.6133333333333333,10,32,8,32,True
MFCC-48,0.4975,0.5275,0.5275,10,32,8,32,False
MFCC-48,0.5,0.525,0.5416666666666666,10,32,32,32,True
MFCC-48,0.5075,0.5125,0.5583333333333333,10,32,32,32,False
MFCC-48,0.485,0.5025,0.695,30,8,8,32,True
MFCC-48,0.465,0.46,0.6233333333333333,30,8,8,32,False
MFCC-48,0.5175,0.5475,0.6183333333333333,30,8,32,32,True
MFCC-48,0.5125,0.4825,0.5658333333333333,30,8,32,32,False
MFCC-48,0.5225,0.5325,0.6125,30,32,8,32,True
MFCC-48,0.485,0.5,0.5541666666666667,30,32,8,32,False
MFCC-48,0.5125,0.525,0.5558333333333333,30,32,32,32,True
MFCC-48,0.5,0.4975,0.5016666666666667,30,32,32,32,False
MFCC-48,0.55,0.56,0.6641666666666667,50,8,8,32,True
MFCC-48,0.5025,0.4975,0.5158333333333334,50,8,8,32,False
MFCC-48,0.5325,0.56,0.6041666666666666,50,8,32,32,True
MFCC-48,0.5,0.5025,0.505,50,8,32,32,False
MFCC-48,0.53,0.5275,0.6416666666666667,50,32,8,32,True
MFCC-48,0.5,0.515,0.5658333333333333,50,32,8,32,False
MFCC-48,0.5275,0.545,0.625,50,32,32,32,True
MFCC-48,0.525,0.5,0.7241666666666666,50,32,32,32,False
MFCC-128,0.5,0.5,0.5,5,8,8,32,True
MFCC-128,0.5,0.5,0.5,5,8,8,32,False
MFCC-128,0.5,0.5,0.5,5,8,32,32,True
MFCC-128,0.5,0.5,0.5,5,8,32,32,False
MFCC-128,0.5,0.5,0.5,5,32,8,32,True
MFCC-128,0.5,0.5,0.5,5,32,8,32,False
MFCC-128,0.5,0.5,0.5,5,32,32,32,True
MFCC-128,0.5,0.5,0.5,5,32,32,32,False
MFCC-128,0.5,0.5,0.5,10,8,8,32,True
MFCC-128,0.5,0.5,0.5033333333333333,10,8,8,32,False
MFCC-128,0.5025,0.505,0.5325,10,8,32,32,True
MFCC-128,0.5,0.5,0.5,10,8,32,32,False
MFCC-128,0.5,0.5,0.5,10,32,8,32,True
MFCC-128,0.5,0.5,0.5,10,32,8,32,False
MFCC-128,0.5,0.5,0.5,10,32,32,32,True
MFCC-128,0.5,0.5,0.5,10,32,32,32,False
MFCC-128,0.5,0.5,0.5025,30,8,8,32,True
MFCC-128,0.4975,0.5025,0.5141666666666667,30,8,8,32,False
MFCC-128,0.5,0.5,0.5,30,8,32,32,True
MFCC-128,0.4975,0.4975,0.5433333333333333,30,8,32,32,False
MFCC-128,0.48,0.505,0.6091666666666666,30,32,8,32,True
MFCC-128,0.505,0.49,0.535,30,32,8,32,False
MFCC-128,0.4925,0.51,0.525,30,32,32,32,True
MFCC-128,0.5,0.5,0.5,30,32,32,32,False
MFCC-128,0.5,0.49,0.5075,50,8,8,32,True
MFCC-128,0.4175,0.425,0.5258333333333334,50,8,8,32,False
MFCC-128,0.4975,0.4875,0.5541666666666667,50,8,32,32,True
MFCC-128,0.5,0.5025,0.505,50,8,32,32,False
MFCC-128,0.5,0.5,0.5091666666666667,50,32,8,32,True
MFCC-128,0.5,0.5,0.5016666666666667,50,32,8,32,False
MFCC-128,0.51,0.505,0.5966666666666667,50,32,32,32,True
MFCC-128,0.5,0.5,0.5008333333333334,50,32,32,32,False
MFCC-32,0.5,0.5,0.5008333333333334,5,8,8,32,True
MFCC-32,0.5,0.5,0.5,5,8,8,32,False
MFCC-32,0.51,0.5025,0.5666666666666667,5,8,32,32,True
MFCC-32,0.5,0.5,0.5,5,8,32,32,False
MFCC-32,0.495,0.4875,0.5275,5,32,8,32,True
MFCC-32,0.51,0.4975,0.5133333333333333,5,32,8,32,False
MFCC-32,0.5,0.5,0.5,5,32,32,32,True
MFCC-32,0.5,0.5,0.5,5,32,32,32,False
MFCC-32,0.505,0.515,0.515,10,8,8,32,True
MFCC-32,0.5,0.5,0.5,10,8,8,32,False
MFCC-32,0.5025,0.4975,0.5041666666666667,10,8,32,32,True
MFCC-32,0.5,0.5,0.5,10,8,32,32,False
MFCC-32,0.5,0.5,0.5,10,32,8,32,True
MFCC-32,0.5,0.5,0.5,10,32,8,32,False
MFCC-32,0.475,0.495,0.5533333333333333,10,32,32,32,True
MFCC-32,0.5,0.495,0.52,10,32,32,32,False
MFCC-32,0.49,0.4775,0.54,30,8,8,32,True
MFCC-32,0.4825,0.5225,0.7716666666666666,30,8,8,32,False
MFCC-32,0.5025,0.495,0.5083333333333333,30,8,32,32,True
MFCC-32,0.5075,0.4875,0.6816666666666666,30,8,32,32,False
MFCC-32,0.5225,0.5175,0.5566666666666666,30,32,8,32,True
MFCC-32,0.505,0.4875,0.5366666666666666,30,32,8,32,False
MFCC-32,0.4925,0.5125,0.5458333333333333,30,32,32,32,True
MFCC-32,0.51,0.485,0.5675,30,32,32,32,False
MFCC-32,0.515,0.485,0.5741666666666667,50,8,8,32,True
MFCC-32,0.5,0.5,0.5008333333333334,50,8,8,32,False
MFCC-32,0.4975,0.525,0.6183333333333333,50,8,32,32,True
MFCC-32,0.5025,0.4975,0.5291666666666667,50,8,32,32,False
MFCC-32,0.4975,0.49,0.5883333333333334,50,32,8,32,True
